iter	Passed	Remaining
0	1	1023
1	2	1135
2	3	1193
3	4	1188
4	5	1192
5	7	1189
6	8	1194
7	9	1185
8	10	1195
9	12	1236
10	13	1256
11	15	1251
12	16	1242
13	17	1235
14	19	1249
15	20	1248
16	21	1260
17	23	1269
18	24	1263
19	25	1262
20	27	1272
21	28	1265
22	29	1260
23	30	1254
24	31	1247
25	33	1247
26	34	1252
27	36	1250
28	37	1258
29	39	1261
30	40	1259
31	41	1268
32	43	1264
33	44	1259
34	45	1254
35	46	1249
36	47	1245
37	49	1251
38	50	1246
39	51	1235
40	52	1233
41	54	1237
42	55	1240
43	57	1242
44	58	1238
45	59	1239
46	61	1238
47	61	1229
48	63	1233
49	64	1233
50	65	1226
51	67	1223
52	68	1227
53	70	1228
54	71	1228
55	72	1225
56	73	1220
57	74	1209
58	75	1206
59	76	1202
60	78	1201
61	79	1198
62	80	1192
63	81	1189
64	82	1186
65	83	1187
66	84	1182
67	86	1179
68	87	1176
69	88	1174
70	89	1171
71	90	1168
72	91	1165
73	93	1164
74	94	1161
75	95	1159
76	96	1155
77	97	1152
78	98	1153
79	99	1149
80	101	1147
81	102	1145
82	103	1142
83	104	1135
84	105	1133
85	106	1130
86	107	1128
87	108	1127
88	109	1124
89	111	1122
90	112	1120
91	113	1117
92	114	1117
93	115	1115
94	116	1114
95	117	1108
96	118	1106
97	120	1104
98	121	1102
99	122	1100
100	123	1098
101	124	1096
102	125	1094
103	126	1092
104	127	1090
105	128	1087
106	130	1086
107	131	1085
108	132	1083
109	133	1081
110	134	1079
111	135	1078
112	137	1076
113	138	1074
114	139	1072
115	140	1070
116	141	1068
117	142	1067
118	144	1071
119	146	1072
120	148	1075
121	149	1076
122	151	1077
123	152	1078
124	154	1081
125	156	1082
126	157	1083
127	158	1082
128	160	1082
129	162	1084
130	163	1084
131	165	1085
132	166	1086
133	168	1086
134	169	1085
135	171	1086
136	172	1087
137	174	1089
138	176	1091
139	177	1092
140	179	1093
141	180	1093
142	182	1093
143	183	1093
144	185	1092
145	186	1092
146	188	1092
147	189	1092
148	191	1091
149	192	1091
150	194	1093
151	196	1095
152	197	1094
153	199	1094
154	200	1094
155	202	1094
156	203	1094
157	205	1095
158	207	1095
159	208	1097
160	210	1097
161	212	1098
162	214	1099
163	215	1098
164	217	1099
165	218	1099
166	220	1099
167	222	1099
168	223	1099
169	225	1099
170	226	1096
171	228	1100
172	230	1101
173	232	1101
174	233	1101
175	235	1104
176	237	1104
177	239	1106
178	241	1107
179	243	1109
180	245	1109
181	246	1108
182	248	1108
183	250	1110
184	252	1110
185	253	1110
186	255	1112
187	258	1114
188	259	1114
189	261	1114
190	262	1112
191	264	1112
192	266	1112
193	267	1113
194	270	1115
195	271	1115
196	273	1116
197	275	1115
198	276	1114
199	278	1113
200	279	1112
201	282	1114
202	283	1113
203	285	1113
204	287	1114
205	289	1116
206	291	1115
207	292	1114
208	294	1113
209	296	1114
210	297	1113
211	299	1113
212	301	1113
213	303	1113
214	304	1113
215	306	1111
216	307	1108
217	308	1105
218	309	1103
219	310	1101
220	311	1099
221	313	1097
222	313	1093
223	315	1092
224	316	1091
225	318	1090
226	319	1088
227	320	1085
228	321	1082
229	322	1080
230	323	1078
231	324	1075
232	326	1073
233	327	1071
234	328	1069
235	329	1066
236	331	1065
237	332	1064
238	333	1062
239	334	1060
240	336	1058
241	337	1057
242	338	1055
243	339	1053
244	341	1051
245	342	1048
246	343	1046
247	344	1044
248	345	1043
249	347	1041
250	348	1040
251	349	1038
252	350	1035
253	351	1033
254	352	1031
255	353	1028
256	355	1026
257	356	1025
258	357	1023
259	359	1022
260	360	1020
261	362	1019
262	363	1018
263	364	1016
264	366	1015
265	367	1013
266	368	1011
267	369	1009
268	370	1007
269	372	1005
270	373	1004
271	374	1002
272	375	1000
273	377	1000
274	378	998
275	380	997
276	381	996
277	382	994
278	384	992
279	385	990
280	386	988
281	387	986
282	388	985
283	390	983
284	391	981
285	392	980
286	393	978
287	395	977
288	396	975
289	397	973
290	399	972
291	400	970
292	401	969
293	403	969
294	405	968
295	406	966
296	407	964
297	408	963
298	410	962
299	411	960
300	413	959
301	414	957
302	415	955
303	416	953
304	417	951
305	418	949
306	420	948
307	421	946
308	422	945
309	424	943
310	425	942
311	426	940
312	428	939
313	429	938
314	430	936
315	431	933
316	432	931
317	433	929
318	434	927
319	435	925
320	436	923
321	437	922
322	439	920
323	440	919
324	441	917
325	443	916
326	444	914
327	444	911
328	446	909
329	447	907
330	448	906
331	449	904
332	450	902
333	451	900
334	452	898
335	454	897
336	455	895
337	456	894
338	457	892
339	458	890
340	459	888
341	461	887
342	462	885
343	463	883
344	464	881
345	465	880
346	466	878
347	467	876
348	469	875
349	470	873
350	471	871
351	472	869
